idx	accession	class	len_nt	tuple	foldv2_aa_len	foldv2_energy	winding	frobenius	activation	genepipe_dG	genepipe_aa	pdb
013	XM_022960197.2	tRNA XM_022960197.2 PREDICTED: Spodoptera litura tRNA (guanine(37)-N(1))-methyltransferase (LOC111349202), mRNA	1501	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	1	0.0	337	False	0			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/013_XM_022960197.2.pdb
014	XM_022959908.2	tRNA XM_022959908.2 PREDICTED: Spodoptera litura tRNA methyltransferase 61 (Trmt61), mRNA	1179	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	2	0.0	268	False	1			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/014_XM_022959908.2.pdb
015	XM_022960228.2	rRNA XM_022960228.2 PREDICTED: Spodoptera litura 18S rRNA aminocarboxypropyltransferase (LOC111349217), mRNA	920	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	6	-0.1081	218	False	3			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/015_XM_022960228.2.pdb
016	XR_015539042.1	rRNA XR_015539042.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877494), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/016_XR_015539042.1.pdb
017	XR_015539041.1	rRNA XR_015539041.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877492), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/017_XR_015539041.1.pdb
018	XR_015539037.1	rRNA XR_015539037.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877506), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.362	33	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/018_XR_015539037.1.pdb
019	XR_015539036.1	rRNA XR_015539036.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877491), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/019_XR_015539036.1.pdb
020	XR_015539035.1	rRNA XR_015539035.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877500), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/020_XR_015539035.1.pdb
021	XR_015539034.1	rRNA XR_015539034.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877501), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	17	0.3928	31	True	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/021_XR_015539034.1.pdb
022	XR_015539033.1	rRNA XR_015539033.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877549), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3374	30	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/022_XR_015539033.1.pdb
023	XR_015539032.1	rRNA XR_015539032.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877566), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/023_XR_015539032.1.pdb
024	XR_015539031.1	rRNA XR_015539031.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877522), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/024_XR_015539031.1.pdb
025	XR_015539030.1	rRNA XR_015539030.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877515), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/025_XR_015539030.1.pdb
026	XR_015539029.1	rRNA XR_015539029.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877514), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/026_XR_015539029.1.pdb
027	XR_015539028.1	rRNA XR_015539028.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877513), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/027_XR_015539028.1.pdb
028	XR_015539027.1	rRNA XR_015539027.1 PREDICTED: Spodoptera litura 5S ribosomal RNA (LOC147877512), rRNA	119	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	24	4.3517	31	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/028_XR_015539027.1.pdb
029	XM_022968547.2	snoRNA XM_022968547.2 PREDICTED: Spodoptera litura box C/D snoRNA protein 1 (LOC111354916), mRNA	1568	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	15	-2.1182	336	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/029_XM_022968547.2.pdb
030	XM_016047937.5	snoRNA XM_016047937.5 PREDICTED: Parasteatoda tepidariorum box C/D snoRNA protein 1 (LOC107436290), transcript variant X3, mRNA	843	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	11	2556.169	214	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/030_XM_016047937.5.pdb
031	XM_016047936.4	snoRNA XM_016047936.4 PREDICTED: Parasteatoda tepidariorum box C/D snoRNA protein 1 (LOC107436290), transcript variant X2, mRNA	1118	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	10	-1.7565	267	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/031_XM_016047936.4.pdb
032	XM_016047935.4	snoRNA XM_016047935.4 PREDICTED: Parasteatoda tepidariorum box C/D snoRNA protein 1 (LOC107436290), transcript variant X1, mRNA	1041	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	10	-1.3575	251	False	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/032_XM_016047935.4.pdb
033	XM_086983701.1	snoRNA XM_086983701.1 PREDICTED: Varroa destructor box C/D snoRNA protein 1 (LOC111246548), transcript variant X6, mRNA	1477	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	10	61.0464	406	False	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/033_XM_086983701.1.pdb
034	XM_086983700.1	snoRNA XM_086983700.1 PREDICTED: Varroa destructor box C/D snoRNA protein 1 (LOC111246548), transcript variant X5, mRNA	1621	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	20	-2.3839	449	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/034_XM_086983700.1.pdb
035	XM_022796319.2	snoRNA XM_022796319.2 PREDICTED: Varroa destructor box C/D snoRNA protein 1 (LOC111246548), transcript variant X4, mRNA	1607	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	8	2.8892	442	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/035_XM_022796319.2.pdb
036	XM_022796317.2	snoRNA XM_022796317.2 PREDICTED: Varroa destructor box C/D snoRNA protein 1 (LOC111246548), transcript variant X3, mRNA	1609	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	22	74730081.1709	442	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/036_XM_022796317.2.pdb
037	XM_022796318.2	snoRNA XM_022796318.2 PREDICTED: Varroa destructor box C/D snoRNA protein 1 (LOC111246548), transcript variant X2, mRNA	1638	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	18	1284379.3744	451	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/037_XM_022796318.2.pdb
038	XM_086983699.1	snoRNA XM_086983699.1 PREDICTED: Varroa destructor box C/D snoRNA protein 1 (LOC111246548), transcript variant X1, mRNA	1631	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	1	0.0	448	False	1			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/038_XM_086983699.1.pdb
039	XM_087008357.1	snoRNA XM_087008357.1 PREDICTED: Lingula anatina box C/D snoRNA protein 1-like (LOC106174991), transcript variant X2, mRNA	3357	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	15	14256.892	742	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/039_XM_087008357.1.pdb
040	XM_013556787.2	snoRNA XM_013556787.2 PREDICTED: Lingula anatina box C/D snoRNA protein 1-like (LOC106174991), transcript variant X1, mRNA	3363	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	15	14256.892	743	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/040_XM_013556787.2.pdb
041	XM_022844217.2	snoRNA XM_022844217.2 PREDICTED: Varroa jacobsoni box C/D snoRNA protein 1 (LOC111266601), transcript variant X6, mRNA	1540	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	11	0.7572	424	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/041_XM_022844217.2.pdb
042	XM_022844216.2	snoRNA XM_022844216.2 PREDICTED: Varroa jacobsoni box C/D snoRNA protein 1 (LOC111266601), transcript variant X5, mRNA	1627	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	20	-2.3839	450	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/042_XM_022844216.2.pdb
043	XM_022964080.2	snRNA XM_022964080.2 PREDICTED: Spodoptera litura 7SK snRNA methylphosphate capping enzyme (LOC111351879), mRNA	3389	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	4	-0.0921	842	False	2			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/043_XM_022964080.2.pdb
044	XM_022979580.2	snRNA XM_022979580.2 PREDICTED: Spodoptera litura U6 snRNA phosphodiesterase 1 (LOC111362830), mRNA	1085	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	5	-0.1049	257	False	3			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/044_XM_022979580.2.pdb
045	XM_087310671.1	snRNA XM_087310671.1 PREDICTED: Danio rerio U6 snRNA biogenesis 1 (usb1), transcript variant X2, mRNA	1933	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	28	430807021.9231	437	False	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/045_XM_087310671.1.pdb
046	XM_087310670.1	snRNA XM_087310670.1 PREDICTED: Danio rerio U6 snRNA biogenesis 1 (usb1), transcript variant X1, mRNA	1934	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	28	430807021.9231	437	False	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/046_XM_087310670.1.pdb
047	XR_015453192.1	snRNA XR_015453192.1 PREDICTED: Heterocephalus glaber THUMP domain 2 tRNA and snRNA guanosine methyltransferase (Thumpd2), transcript variant X5, misc_RNA	1106	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	52	10453376737.6038	231	False	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/047_XR_015453192.1.pdb
048	XM_021253766.2	snRNA XM_021253766.2 PREDICTED: Heterocephalus glaber THUMP domain 2 tRNA and snRNA guanosine methyltransferase (Thumpd2), transcript variant X4, mRNA	1482	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	39	6569963.1151	322	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/048_XM_021253766.2.pdb
049	XM_021253765.2	snRNA XM_021253765.2 PREDICTED: Heterocephalus glaber THUMP domain 2 tRNA and snRNA guanosine methyltransferase (Thumpd2), transcript variant X2, mRNA	3990	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	4	-0.2968	819	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/049_XM_021253765.2.pdb
050	XM_004839341.4	snRNA XM_004839341.4 PREDICTED: Heterocephalus glaber THUMP domain 2 tRNA and snRNA guanosine methyltransferase (Thumpd2), transcript variant X1, mRNA	1944	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	52	10453376737.6038	408	False	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/050_XM_004839341.4.pdb
051	XM_004843138.4	snRNA XM_004843138.4 PREDICTED: Heterocephalus glaber U6 snRNA biogenesis phosphodiesterase 1 (Usb1), transcript variant X3, mRNA	1144	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	12	0.0966	236	False	0			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/051_XM_004843138.4.pdb
052	XM_004843137.4	snRNA XM_004843137.4 PREDICTED: Heterocephalus glaber U6 snRNA biogenesis phosphodiesterase 1 (Usb1), transcript variant X2, mRNA	1865	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	293	13728380292952.361	372	True	12			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/052_XM_004843137.4.pdb
053	XM_004843136.4	snRNA XM_004843136.4 PREDICTED: Heterocephalus glaber U6 snRNA biogenesis phosphodiesterase 1 (Usb1), transcript variant X1, mRNA	1226	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	299	13728380644457.145	253	True	12			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/053_XM_004843136.4.pdb
054	XM_023431433.2	snRNA XM_023431433.2 PREDICTED: Seriola lalandi dorsalis 7SK snRNA methylphosphate capping enzyme-like (LOC111673612), partial mRNA	2374	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	40	10308.6352	448	True	9			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/054_XM_023431433.2.pdb
055	XM_023411438.2	snRNA XM_023411438.2 PREDICTED: Seriola lalandi dorsalis U6 snRNA biogenesis 1 (usb1), mRNA	1305	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	17	6339033.9621	279	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/055_XM_023411438.2.pdb
056	XM_071188356.2	snRNA XM_071188356.2 PREDICTED: Parasteatoda tepidariorum U6 snRNA methylphosphate capping enzyme Amus (LOC107445896), transcript variant X3, mRNA	1805	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	5	-0.0702	442	False	2			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/056_XM_071188356.2.pdb
057	PZ492882.1	miRNA PZ492882.1 Larimichthys crocea clone MIR-183 LcMiRNA-183 miRNA, complete sequence	104	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	34	36.3554	17	True	10			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/057_PZ492882.1.pdb
058	PZ328777.1	miRNA PZ328777.1 Osteobrama belangeri miR-7a pre miRNA, complete sequence	122	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	3	0.0	29	False	1			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/058_PZ328777.1.pdb
059	QS368930.1	miRNA QS368930.1 WO 2024172057-A/2: Artificial MiRNA Construct	120	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	18	85.4705	26	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/059_QS368930.1.pdb
060	QS368929.1	miRNA QS368929.1 WO 2024172057-A/1: Artificial MiRNA Construct	120	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	40	74982.4226	26	True	8			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/060_QS368929.1.pdb
061	NR_157061.1	miRNA NR_157061.1 Caenorhabditis elegans pre-microRNA F09A5.15 (F09A5.15), miRNA	90	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	20	388.4739	20	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/061_NR_157061.1.pdb
062	NR_157060.1	miRNA NR_157060.1 Caenorhabditis elegans pre-microRNA B0462.6 (B0462.6), miRNA	83	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	12	45.297	18	False	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/062_NR_157060.1.pdb
063	NR_157062.1	miRNA NR_157062.1 Caenorhabditis elegans pre-microRNA Y73B6A.17 (Y73B6A.17), miRNA	79	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	15	80.9411	20	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/063_NR_157062.1.pdb
064	NR_138489.1	miRNA NR_138489.1 Caenorhabditis elegans pre-microRNA mir-8199 (mir-8199), miRNA	88	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	29	8.2096	26	True	8			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/064_NR_138489.1.pdb
065	NR_131781.1	miRNA NR_131781.1 Caenorhabditis elegans pre-microRNA mir-5595 (mir-5595), miRNA	65	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	21	2.701	25	True	8			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/065_NR_131781.1.pdb
066	NR_131746.1	miRNA NR_131746.1 Caenorhabditis elegans pre-microRNA mir-2217.2 (mir-2217.2), miRNA	62	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	20	96315.5773	11	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/066_NR_131746.1.pdb
067	NR_072700.2	miRNA NR_072700.2 Caenorhabditis elegans pre-microRNA mir-4812 (mir-4812), miRNA	76	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	25	214914460.7136	14	True	9			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/067_NR_072700.2.pdb
068	NR_102234.2	miRNA NR_102234.2 Caenorhabditis elegans pre-microRNA mir-8196.2 (mir-8196.2), miRNA	65	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	21	927105.5439	12	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/068_NR_102234.2.pdb
069	NR_131736.1	miRNA NR_131736.1 Caenorhabditis elegans pre-microRNA mir-5592.2 (mir-5592.2), miRNA	64	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	21	14.3703	14	True	9			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/069_NR_131736.1.pdb
070	NR_131735.1	miRNA NR_131735.1 Caenorhabditis elegans pre-microRNA mir-5592.1 (mir-5592.1), miRNA	64	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	21	32.6933	14	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/070_NR_131735.1.pdb
071	NR_023997.3	miRNA NR_023997.3 Caenorhabditis elegans pre-microRNA mir-799 (mir-799), miRNA	93	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	19	-3.0339	19	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/071_NR_023997.3.pdb
072	PZ502555.1	lncRNA PZ502555.1 Homo sapiens voucher MA2026 RAB4B-EGLN2 readthrough transcript lncRNA, partial sequence	1157	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	54	125598938.1727	247	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/072_PZ502555.1.pdb
073	XM_087290394.1	lncRNA XM_087290394.1 PREDICTED: Danio rerio lncRNA encoded micropeptide (lnc.lemp), mRNA	496	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	12	206.9884	119	False	1			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/073_XM_087290394.1.pdb
